,pmid,pmd,journal,year
11693,20835912,,  Sex Transm Infect,  2009 Apr
11694,20834087,,  Klin Monbl Augenheilkd,  2008 Oct
11695,20834086,,  Hum Genet,  2008 Dec
11696,20833285,,  Am J Hum Biol,  2009 Mar-Apr
11697,20832464,,  J Chem Ecol,  2008 Nov
11698,20831558,,  Phytopathology,  1998 Apr
11699,20828936,,  Phytopathology,  2001 Aug
11700,20827573,,  Surg Neurol,  2008 Nov
11701,20826591,,  Popul Health Metr,  2008 Oct 21
11702,20822451,,  J Gen Virol,  2008 Nov
11703,20819259,,  Acta Trop,  2009 Jan
11704,20817530,,  Pharmacol Biochem Behav,  2009 Feb
11705,20813823,,  J Infect Dis,  2008 Dec 1
11706,20813034,PMC2939624,  Lancet,  2008 Nov 22
11707,20812845,NIHMS221341,  J Adolesc,  2009 Aug
11708,20812604,,  PLoS Negl Trop Dis,  2008
11709,20812481,,  Hum Immunol,  2008 Dec
11710,20811622,,  Politics Life Sci,  2007 Sep
11711,20811526,,  Anim Reprod Sci,  2009 Feb
11712,20810821,PMC2929052,  Int J Food Microbiol,  2008 Dec 10
11713,20810804,PMC2929035,  Malar J,  2008 Oct 3
11714,20810372,,  PLoS One,  2008 Oct 3
11715,20810371,,  J Infect Dis,  2008 Nov 15
11716,20809178,,  Proc Biol Sci,  2009 Feb 7
11717,20807685,,  Emerg Infect Dis,  2008 Oct
11718,20805235,,  Br J Nutr,  2009 May
11719,20803928,,  Malar J,  2008 Sep 30
11720,20803926,,  Int J STD AIDS,  2008 Oct
11721,25860629,,  Sex Transm Infect,  2008 Oct
11722,23457818,,  Int J Diabetes Dev Ctries,  2008 Oct
11723,23457817,,  Int J Environ Health Res,  2008 Oct
11724,23457816,,  Acad Med,  2008 Oct
11725,23457815,,  Med Vet Entomol,  2008 Sep
11726,23457813,,  J Infect Dis,  2008 Nov 15
11727,20801626,,  J Obstet Gynecol Neonatal Nurs,  2008 Sep-Oct
11728,20800525,,  J Obstet Gynecol Neonatal Nurs,  2008 Sep-Oct
11729,20799996,PMC2936406,  Infect Immun,  2008 Dec
11730,20799995,PMC2940896,  J Surg Educ,  2008 Sep-Oct
11731,20799679,,  Int J Health Geogr,  2008 Sep 22
11732,20799585,,  Epilepsy Res,  2008 Dec
11733,20799564,,  Malar J,  2008 Sep 19
11734,20798657,,  J Hum Evol,  2008 Dec
11735,20795812,,  Health Policy Plan,  2008 Nov
11736,20740093,,  Hum Resour Health,  2008 Sep 16
11737,20739836,,  Am J Hum Biol,  2009 Jan-Feb
11738,20738869,PMC2933687,  AIDS Behav,  2010 Aug
11739,20738836,,  Public Health Nutr,  2009 Aug
11740,20732997,PMC2976345,  Bull Environ Contam Toxicol,  2009 Jan
11741,20731826,PMC2939557,  J Virol,  2008 Nov
11742,20730445,,  Transbound Emerg Dis,  2008 Oct
11743,20726766,,  Parasite Immunol,  2008 Oct
11744,20725713,,  PLoS One,  2008 Sep 11
11745,20724969,,  AIDS,  2008 Oct 1
11746,20723600,,  AIDS,  2008 Oct 1
11747,20721981,,  Int J Oral Maxillofac Surg,  2008 Oct
11748,20721946,NIHMS231704,  Epilepsia,  2008 Sep
11749,20721938,,  Epilepsia,  2008 Sep
11750,20721766,,  J Infect Dis,  2008 Oct 15
11751,20716797,,  Conserv Biol,  2009 Feb
11752,20716792,,  AIDS Care,  2008 Sep
11753,20715602,,  Environ Manage,  2009 Jan
11754,20715601,,  Med Confl Surviv,  2008 Apr-Jun
11755,20714272,NIHMS447865,  J Acquir Immune Defic Syndr,  2008 Oct 1
11756,20713393,PMC2935111,  J Acquir Immune Defic Syndr,  2008 Oct 1
11757,20713389,PMC2935116,  Proc Natl Acad Sci U S A,  2008 Sep 9
11758,20712897,PMC2930631,  J Clin Microbiol,  2008 Nov
11759,20712156,,  J Sex Med,  2008 Nov
11760,20711886,,  Acta Trop,  2009 Feb
11761,20707693,,  J Med Primatol,  2008 Aug
11762,20707689,,  MCN Am J Matern Child Nurs,  2008 Sep-Oct
11763,20705985,,  AIDS,  2008 Sep 12
11764,20705516,,  Parasitology,  2008 Sep
11765,20705514,,  Malar J,  2008 Aug 27
11766,20705339,,  AIDS Res Hum Retroviruses,  2008 Sep
11767,20703810,,  PLoS One,  2008 Aug 27
11768,20684719,,  Ann Trop Paediatr,  2008 Sep
11769,20684701,,  Clin Microbiol Infect,  2008 Aug
11770,20684700,UKMS27209,  Environ Manage,  2009 May
11771,20682909,PMC2913498,  J Nutr Educ Behav,  2008 Sep-Oct
11772,20682908,PMC2913500,  Acta Trop,  2008 Oct
11773,20682907,PMC2913503,  J Cataract Refract Surg,  2008 Sep
11774,20682906,PMC2913501,  Trop Med Int Health,  2008 Oct
11775,20682903,PMC2913497,  Disabil Rehabil,  2009
11776,20682901,PMC2913492,  Arch Dis Child,  2008 Sep
11777,20682900,PMC2913496,  Malar J,  2008 Aug 21
11778,20682899,PMC2913493,  BMC Med,  2008 Aug 21
11779,20700769,,  BMC Med,  2008 Aug 21
11780,20696832,PMC2950343,  Transfusion,  2008 Jun
11781,20696029,PMC2927471,  J Proteome Res,  2008 Oct
11782,20695137,,  J Proteome Res,  2008 Oct
11783,20694445,,  Malar J,  2008 Aug 16
11784,20693488,,  Primates,  2008 Oct
11785,20692030,,  Neurobiol Aging,  2010 May
11786,20691120,PMC2927610,  Health Policy Plan,  2008 Nov
11787,20690277,,  Disasters,  2009 Apr
11788,20689815,,  Mycol Res,  2008 Oct
11789,20687848,NIHMS214003,  Health Policy Plan,  2008 Nov
11790,20687830,,  AIDS Behav,  2008 Nov
11791,20687005,,  Vet Parasitol,  2008 Oct 20
11792,20683336,,  J Sex Res,  2008 Jul-Sep
11793,20682884,PMC2911187,  Exp Appl Acarol,  2008 Dec
11794,20680125,,  PLoS One,  2008 Aug 6
11795,20678462,,  J Womens Health (Larchmt),  2008 Jul-Aug
11796,20677038,,  Emerg Infect Dis,  2008 Aug
11797,20676763,,  Emerg Infect Dis,  2008 Aug
11798,20676406,,  J Hum Evol,  2008 Oct
11799,20676238,UKMS31564,  BMC Infect Dis,  2008 Jul 31
11800,24955020,EMS58944,  Oecologia,  2008 Nov
11801,23451560,,  AIDS,  2008 Aug 20
11802,23451559,,  AIDS,  2008 Aug 20
11803,23451557,,  Malar J,  2008 Jul 31
11804,23451556,,  Anthropol Med,  2008 Aug 1
11805,23451555,,  J Phycol,  2008 Aug
11806,20671901,,  J Child Adolesc Ment Health,  2008 Aug
11807,20670998,,  AIDS Behav,  2009 Oct
11808,20670170,,  J Theor Biol,  2008 Oct 7
11809,20668541,,  Br J Clin Pharmacol,  2008 Oct
11810,20667138,PMC2923120,  Trans R Soc Trop Med Hyg,  2008 Oct
11811,20664752,,  Health Policy Plan,  2008 Sep
11812,20660519,,  PLoS Med,  2008 Jul 22
11813,20660195,PMC2937772,  PLoS Med,  2008 Jul 22
11814,20659176,,  AIDS Behav,  2010 Feb
11815,20658406,,  Sex Transm Dis,  2008 Aug
11816,20656722,,  Sex Transm Infect,  2008 Aug
11817,20655517,,  J Med Virol,  2008 Sep
11818,20655263,PMC2951008,  Subst Use Misuse,  2008 Jul
11819,20654736,,  Cult Health Sex,  2008 Aug
11820,20650523,,  Exp Appl Acarol,  2008 Dec
11821,20649957,PMC2918531,  J Acquir Immune Defic Syndr,  2008 Aug 15
11822,20647166,,  Int Q Community Health Educ,  2007-2008
11823,20646195,,  Trans R Soc Trop Med Hyg,  2008 Dec
11824,20645990,PMC3072473,  Comp Biochem Physiol A Mol Integr Physiol,  2008 Oct
11825,20645092,,  Mol Ecol,  2008 Sep
11826,20642341,,  J Anat,  2008 Oct
11827,20639764,,  Vaccine,  2008 Sep 2
11828,20639552,,  Australas J Dermatol,  2008 Aug
11829,20639298,,  Clin Vaccine Immunol,  2008 Sep
11830,20636685,,  Trop Doct,  2008 Jul
11831,20636337,,  Trop Doct,  2008 Jul
11832,20635251,,  Trop Doct,  2008 Jul
11833,20633282,PMC2918624,  Cancer Epidemiol Biomarkers Prev,  2008 Jul
11834,20595341,,  Int J Biometeorol,  2008 Nov
11835,20630528,PMC2937079,  J Int Assoc Physicians AIDS Care (Chic),  2008 Jul-Aug
11836,20628930,,  Int J Parasitol,  2008 Dec
11837,20594373,PMC2895751,  Lancet,  2008 Jul 12
11838,20594367,PMC2895745,  BMC Public Health,  2008 Jul 14
11839,20590849,,  J Exp Zool A Ecol Genet Physiol,  2008 Oct 1
11840,20625549,,  J Hum Evol,  2008 Sep
11841,20625393,,  Rev Med Virol,  2008 Sep-Oct
11842,20624336,PMC3271124,  AIDS,  2008 Jul 31
11843,20624323,PMC2912815,  Malar J,  2008 Jul 9
11844,20624074,,  Am J Phys Anthropol,  2008 Nov
11845,20623266,,  Disabil Rehabil,  2009
11846,20623229,,  AIDS Care,  2008 Oct
11847,20619524,,  Bull Environ Contam Toxicol,  2008 Sep
11848,20619358,,  Vet Parasitol,  2008 Aug 17
11849,20618930,PMC2912924,  AIDS Patient Care STDS,  2008 Jul
11850,20615219,PMC2914675,  Malar J,  2008 Jul 3
11851,20614808,,  Int J STD AIDS,  2008 Jun
11852,20614146,,  J Trop Pediatr,  2008 Dec
11853,20609253,PMC2907402,  J Am Coll Surg,  2008 Jul
11854,20608962,PMC3188844,  Behav Brain Res,  2008 Dec 16
11855,20589160,,  Prev Vet Med,  2008 Nov 17
11856,20606226,,  Lancet,  2008 Jun 28
11857,20602147,,  Trop Anim Health Prod,  2009 Mar
11858,20601792,,  Vet Parasitol,  2008 Aug 17
11859,20600756,,  J Virol Methods,  2008 Aug
11860,20600489,PMC2920577,  J Infect Dis,  2008 Aug 1
11861,20600395,PMC2914170,  Ann N Y Acad Sci,  2008
11862,20598106,,  J Parasitol,  2008 Aug
11863,20595474,PMC2912572,  Trop Anim Health Prod,  2008 Aug
11864,20593187,,  J Health Commun,  2008 Jun
11865,20591194,PMC3091550,  Microsc Res Tech,  2008 Sep
11866,20589536,,  PLoS One,  2008 Jun 18
11867,20588169,NIHMS213369,  J Gen Virol,  2008 Jul
11868,20588163,NIHMS213325,  Thorax,  2008 Nov
11869,20587178,,  Epilepsia,  2008 Sep
11870,20587047,PMC2910699,  Soc Sci Med,  2008 Aug
11871,20587026,PMC2902422,  Lancet,  2008 Jun 14
11872,20587016,PMC2907373,  Epilepsy Res,  2008 Oct
11873,23451552,,  Global Health,  2008 Jun 13
11874,23451549,,  J Hered,  2008 Sep-Oct
11875,23451547,,  J Virol,  2008 Aug
11876,23451546,,  Vaccine,  2008 Jul 29
11877,20584266,PMC2907308,  Trans R Soc Trop Med Hyg,  2008 Oct
11878,20582782,,  Int J Nurs Stud,  2009 Mar
11879,20582590,,  Epidemiol Infect,  2009 Feb
11880,20580183,,  BMC Evol Biol,  2008 Jun 10
11881,20579998,,  AIDS Res Hum Retroviruses,  2008 Jun
11882,20579463,,  Int J Food Microbiol,  2008 Aug 15
11883,20576145,PMC2912322,  Int J Cancer,  2008 Sep 1
11884,20575313,,  Int J Parasitol,  2008 Oct
11885,20575312,,  Genes Immun,  2008 Jul
11886,20575311,,  AIDS,  2008 Jun 19
11887,20575310,,  J Public Health Policy,  2008 Jul
11888,20573756,,  AIDS,  2008 May 31
11889,20573278,PMC2931484,  AIDS,  2008 May 31
11890,20573224,PMC2901359,  J Hum Evol,  2008 Jul
11891,20570426,,  Horm Behav,  2008 Aug
11892,20569516,,  Reprod Health Matters,  2008 May
11893,20569490,PMC2904276,  J Infect Dis,  2008 Jun 15
11894,20569459,PMC2906499,  Clin J Gastroenterol,  2008 Jun
11895,20569426,PMC2898758,  Jpn J Nurs Sci,  2008 Jun
11896,20569137,,  Gesundheitswesen,  2008 Apr
11897,20568263,,  J Trop Pediatr,  2008 Dec
11898,20566394,PMC2906622,  Ann Trop Med Parasitol,  2008 Jun
11899,20566207,PMC2923746,  J Med Primatol,  2008 Dec
11900,20565896,PMC2904724,  Clin Exp Immunol,  2008 Jul
11901,20565854,PMC2903606,  J Am Diet Assoc,  2008 Jun
11902,20565824,PMC2905425,  Mol Phylogenet Evol,  2008 Jul
11903,20565233,,  Early Hum Dev,  2008 Sep
11904,20564772,,  J Ethnobiol Ethnomed,  2008 May 23
11905,20563883,,  BMJ,  2008 May 24
11906,20562627,UKMS31178,  Arch Dis Child,  2008 Jun
11907,20561396,,  J Travel Med,  2008 May-Jun
11908,20560767,NIHMS201630,  PLoS One,  2008 May 21
11909,20559558,,  PLoS One,  2008 May 21
11910,20553597,PMC2898789,  Appl Biochem Biotechnol,  2009 Apr
11911,20552463,,  Eur J Echocardiogr,  2008 Jul
11912,20549840,,  Anal Chim Acta,  2008 Jun 9
11913,20546887,,  BMC Infect Dis,  2008 May 16
11914,20544384,NIHMS264638,  Trop Med Int Health,  2008 Jul
11915,20543706,,  Trop Med Int Health,  2008 Jun
11916,20539260,,  Nature,  2008 May 15
11917,20539049,,  AIDS Patient Care STDS,  2008 Jul
11918,20537846,,  J Hered,  2008 Sep-Oct
11919,20534571,PMC2890426,  Subst Use Misuse,  2008
11920,20534542,PMC2890732,  Infect Genet Evol,  2009 May
11921,20534500,PMC2895143,  Mol Ecol,  2008 Jun
11922,20533509,,  Parasite Immunol,  2008 Jun-Jul
11923,20531957,,  Soc Psychiatry Psychiatr Epidemiol,  2008 Sep
11924,20530796,PMC3073423,  PLoS One,  2008 May 7
11925,20530470,,  PLoS One,  2008 May 7
11926,20526675,,  Med Sci Sports Exerc,  2008 Jun
11927,20526196,,  Parasitol Int,  2008 Sep
11928,20523859,,  Soc Sci Med,  2008 Sep
11929,20523858,,  Diagn Microbiol Infect Dis,  2008 Aug
11930,20521535,,  AIDS,  2008 May 11
11931,20520846,,  Trop Doct,  2008 Apr
11932,20519603,PMC2877414,  Extremophiles,  2008 Sep
11933,20518834,PMC2922909,  Soc Sci Med,  2008 Jul
11934,20516285,PMC2916339,  Horm Behav,  2008 Aug
11935,20515508,PMC2890678,  PLoS One,  2008 Apr 30
11936,20514563,,  2011,6(2)
11937,20514365,,  PLoS One,  2008 Apr 30
11938,20513720,PMC2880136,  Malar J,  2008 Apr 29
11939,20513712,PMC2880125,  BMC Public Health,  2008 Apr 29
11940,23057270,,  J Infect Dis,  2008 May 15
11941,23057268,,  Clin Infect Dis,  2008 Jun 1
11942,23057266,,  Afr J AIDS Res,  2008 May
11943,23057265,,  Mol Ecol Resour,  2008 May
11944,23057263,,  Vaccine,  2008 May 23
11945,20508037,,  J Cross Cult Gerontol,  2008 Jun
11946,20507811,,  Mol Microbiol,  2008 Jun
11947,20507747,,  Ann Hum Biol,  2008 Mar-Apr
11948,20507555,PMC2892503,  Soc Psychiatry Psychiatr Epidemiol,  2008 Jun
11949,20503648,,  AIDS,  2008 Apr 23
11950,20503188,,  Lancet,  2008 Apr 19
11951,20501927,PMC2968755,  J Anim Ecol,  2008 Jul
11952,20500018,NIHMS432673,  J Pers Disord,  2008 Apr
11953,20499786,,  Sex Transm Dis,  2008 Jun
11954,20499782,,  PLoS Negl Trop Dis,  2008 Apr 16
11955,20499781,,  Clin Exp Ophthalmol,  2008 Apr
11956,20499780,,  Ann Surg Oncol,  2008 Jul
11957,20499779,,  Vet Immunol Immunopathol,  2008 Jul 15
11958,20499778,,  Soc Sci Med,  2008 Sep
11959,20499192,,  Soc Sci Med,  2008 Sep
11960,20497536,PMC2881938,  Contraception,  2008 May
11961,20497410,,  Acta Trop,  2008 May
11962,20497202,,  Gene,  2008 May 31
11963,23970826,NIHMS214761,  J Urban Health,  2008 May
11964,20494502,,  Lancet Infect Dis,  2008 Jun
11965,20492703,PMC2881901,  J Cross Cult Gerontol,  2008 Jun
11966,20490552,,  Trop Med Int Health,  2008 Jul
11967,20487606,,  J Clin Invest,  2008 Apr
11968,20487430,PMC2929358,  Disasters,  2008 Jun
11969,20487428,,  Ann N Y Acad Sci,  2008 Mar
11970,20485856,,  J Med Case Rep,  2008 Mar 31
11971,20485852,,  Sex Transm Infect,  2008 Oct
11972,20485850,,  Soc Sci Med,  2008 Sep
11973,20485449,PMC2909738,  Lancet,  2008 Mar 29
11974,20484391,PMC3646238,  Lancet,  2008 Mar 29
11975,20483156,PMC3090633,  J Parasitol,  2008 Feb
11976,20482796,PMC2887829,  Clin Vaccine Immunol,  2008 Jun
11977,20482776,PMC2890673,  HIV Med,  2008 Apr
11978,20480777,,  Mol Ecol,  2008 Apr
11979,20478084,,  Trop Med Int Health,  2008 Jun
11980,20477537,,  Sex Transm Dis,  2008 Apr
11981,20476714,,  CMAJ,  2008 Mar 25
11982,20473621,,  Soc Sci Med,  2008 Sep
11983,20473244,,  J Med Virol,  2008 May
11984,20471807,,  Sex Transm Dis,  2008 Apr
11985,20471674,,  Sex Transm Dis,  2008 May
11986,20467938,PMC3223244,  J Emerg Nurs,  2008 Apr
11987,20466925,,  AIDS,  2008 Mar 30
11988,20464130,,  AIDS,  2008 Mar 30
11989,20462148,,  Science,  2008 Mar 21
11990,20461572,,  Science,  2008 Mar 21
11991,20461141,,  AIDS Care,  2008 Mar
11992,20459841,PMC2877674,  Acad Psychiatry,  2008 Mar-Apr
11993,20457586,PMC2944029,  Reprod Health,  2008 Mar 18
11994,20454792,,  Int J Equity Health,  2008 Mar 18
11995,20453819,NIHMS316018,  Plant J,  2008 Jun
11996,20453556,,  Mol Ecol,  2008 Apr
11997,20452413,,  HPB (Oxford),  2007
11998,20449772,,  J Am Board Fam Med,  2008 Mar-Apr
11999,20447661,,  Vaccine,  2008 Apr 7
12000,20446726,,  BMC Pregnancy Childbirth,  2007 Oct 22
12001,20444301,,  Int J STD AIDS,  2008 Feb
12002,20440063,,  Curr Opin Psychiatry,  2008 Mar
12003,20438455,PMC2888480,  Popul Health Metr,  2008 Mar 10
12004,20438039,,  Fertil Steril,  2009 Feb
12005,20435977,,  Soc Psychiatry Psychiatr Epidemiol,  2008 Jun
12006,20435788,,  Emerg Infect Dis,  2008 Mar
12007,20435133,,  Emerg Infect Dis,  2008 Mar
12008,20434227,,  Microbes Infect,  2008 Mar
12009,20433377,,  Bull Environ Contam Toxicol,  2008 Apr
12010,20430823,PMC2908156,  PLoS Med,  2008 Mar 4
12011,20429906,PMC2867783,  Environ Manage,  2008 May
12012,20429490,,  Extremophiles,  2008 May
12013,23057286,,  Mol Med,  2008 Mar-Apr
12014,23057284,,  Infect Immun,  2008 May
12015,23057283,,  Trans R Soc Trop Med Hyg,  2008 Apr
12016,23057282,,  Malar J,  2008 Feb 29
12017,23057280,,  Malar J,  2008 Feb 29
12018,23057279,,  Malar J,  2008 Feb 29
12019,21808560,PMC3141308,  Trop Med Int Health,  2008 Apr
12020,20427427,,  J Psychiatr Ment Health Nurs,  2008 Apr
12021,20426855,PMC2872652,  Am J Mens Health,  2008 Mar
12022,20426843,PMC2873515,  J Clin Microbiol,  2008 Apr
12023,20423528,PMC2873237,  J Clin Microbiol,  2008 May
12024,20422197,,  Trop Med Int Health,  2008 Feb
12025,20419472,,  PLoS Med,  2008 Feb
12026,20418799,UKMS31049,  Malar J,  2008 Feb 25
12027,20417552,PMC2907486,  Trop Med Int Health,  2008 Apr
12028,20416928,,  Matern Child Health J,  2009 Jan
12029,20415595,NIHMS183499,  Parasitol Res,  2008 May
12030,20411680,,  CMAJ,  2008 Mar 25
12031,20410077,,  Vet Parasitol,  2008 Apr 15
12032,20409294,,  Bull Entomol Res,  2008 Aug
12033,20409287,PMC2875158,  AIDS Care,  2008 Feb
12034,20408849,PMC3095459,  AIDS Care,  2008 Feb
12035,20406159,,  J Interpers Violence,  2008 Aug
12036,20403801,,  Trop Med Int Health,  2008 Jan
12037,20403299,,  J Nat Prod,  2008 Apr
12038,20403167,PMC2873934,  Vet Parasitol,  2008 May 6
12039,20401577,,  Oecologia,  2008 May
12040,20401502,,  Infect Immun,  2008 May
12041,20399739,,  J Hum Lact,  2008 Feb
12042,20398428,PMC2867992,  Clin Dermatol,  2008 Jan-Feb
12043,20398408,PMC2859077,  Int J STD AIDS,  2008 Jan
12044,20398182,PMC2847195,  Int Nurs Rev,  2008 Mar
12045,20396608,UKMS27144,  J Infect Dis,  2008 Feb 15
12046,20395732,,  J Environ Manage,  2009 Feb
12047,20395432,PMC2877841,  PLoS One,  2008 Feb 13
12048,20394116,,  Antimicrob Agents Chemother,  2008 Apr
12049,20393956,UKMS30404,  J Infect Dis,  2008 Mar 1
12050,20392916,PMC2884483,  PLoS Negl Trop Dis,  2008 Feb 6
12051,20392355,,  BMC Pediatr,  2008 Feb 8
12052,20392349,,  Parasitol Res,  2008 May
12053,20391274,,  Trans R Soc Trop Med Hyg,  2008 Mar
12054,20390943,,  Emerg Infect Dis,  2007 Oct
12055,20390497,,  Emerg Infect Dis,  2007 Oct
12056,20390492,PMC2856113,  HIV Med,  2008 Feb
12057,20390489,,  Malar J,  2008 Feb 5
12058,20390486,,  Infect Immun,  2008 Apr
12059,20388276,,  Seizure,  2008 Jul
12060,20388265,,  Lancet Neurol,  2008 Feb
12061,20387260,,  J Nat Prod,  2008 Mar
12062,20383606,,  Infect Genet Evol,  2008 Mar
12063,20381886,,  J Pain Symptom Manage,  2008 May
12064,20380765,,  Sci Total Environ,  2008 Apr 15
12065,20380294,,  C R Biol,  2008 Feb
12066,20377020,,  Conserv Biol,  2008 Apr
12067,20374478,PMC2921613,  Conserv Biol,  2008 Apr
12068,20372877,,  Health Care Anal,  2008 Mar
12069,20371590,,  Fitoterapia,  2008 Apr
12070,20368815,,  J Insect Sci,  2008
12071,20368402,PMC2876388,  Contraception,  2008 Feb
12072,20361872,PMC2861060,  Malar J,  2008 Jan 28
12073,20361031,,  Antiviral Res,  2008 Mar
12074,20360965,,  J Nat Prod,  2008 Feb
12075,20358793,,  J Travel Med,  2008 Jan-Feb
12076,20358792,,  J Ethnopharmacol,  2008 Mar 5
12077,20358790,,  J Adolesc,  2009 Feb
12078,20358789,,  Parasitology,  2008 Apr
12079,20358787,,  Epidemiol Infect,  2008 Nov
12080,20353499,PMC2814084,  J Immigr Minor Health,  2009 Apr
12081,26190004,,  Avian Pathol,  2008 Feb
12082,23057294,,  J Biosoc Sci,  2008 Sep
12083,23057292,,  AIDS,  2008 Jan 30
12084,23057291,,  Sex Transm Infect,  2008 Apr
12085,23057290,,  Lancet,  2008 Jan 12
12086,23057289,,  J Hum Evol,  2008 Jun
12087,23057288,,  Malar J,  2008 Jan 11
12088,20351622,NIHMS172132,  Int J Nurs Pract,  2008 Feb
12089,20350951,PMC2876411,  Science,  2008 Jan 11
12090,20350312,PMC2858737,  Ann Trop Med Parasitol,  2008 Jan
12091,20349337,,  BMC Pregnancy Childbirth,  2008 Jan 10
12092,20348516,PMC2844562,  Int J Epidemiol,  2008 Apr
12093,20348512,PMC2844555,  ISME J,  2008 Jan
12094,20348176,,  J Ethnopharmacol,  2008 Mar 5
12095,20346687,,  PLoS Med,  2008 Jan 3
12096,20338547,,  Am J Primatol,  2008 May
12097,20338017,,  Curr Microbiol,  2008 Apr
12098,20337763,,  Clin Infect Dis,  2008 Jan 15
12099,20334728,,  Clin Infect Dis,  2008 Jan 1
12100,20332032,,  Libyan J Med,  2008 Mar 1
12101,20329773,,  Afr J AIDS Res,  2007 Nov
12102,20305317,,  Afr J AIDS Res,  2007 Nov
12103,20300518,,  Am J Mens Health,  2007 Sep
12104,20300170,,  Cost Eff Resour Alloc,  2007 Jul 13
12105,20298469,,  J Child Adolesc Ment Health,  2007 Jun
12106,20298261,,  Lancet,  2007 May 26
12107,20297761,,  Lancet,  2007 May 26
12108,20297760,,  Am J Bot,  2007 Apr
12109,20236537,PMC2848200,  Animal,  2007 Mar
12110,20236524,PMC2846860,  Plan Perspect,  2007
12111,20235179,,  J Insect Sci,  2007
12112,20235051,,  J Empir Res Hum Res Ethics,  2006 Jun
12113,20233413,PMC2847543,  Anthropol Med,  2006 Apr
12114,20231776,,  Anthropol Med,  2006 Apr
12115,20231767,,  Afr J AIDS Res,  2005 Nov
12116,20231419,PMC2863496,  J Trop Pediatr,  2004 Oct
12117,20230571,,  Afr J AIDS Res,  2004 May
12118,20229411,,  Cult Health Sex,  2004 Jan
12119,20229373,,  J Nutr,  2003 Nov
12120,20229322,,  J Nutr,  2003 Nov
12121,20224420,,  J Nutr,  2003 Nov
12122,20216563,,  J Nutr,  2003 Nov
12123,20215784,,  J Nutr,  2003 Nov
12124,20214758,,  J Nutr,  2003 Nov
12125,20213962,,  J Nutr,  2003 Nov
12126,20212335,,  J Trop Pediatr,  2003 Aug
12127,20211967,PMC2929466,  FEMS Microbiol Ecol,  2003 Mar 1
12128,20210990,PMC2839986,  Afr J AIDS Res,  2003
12129,20207862,PMC2829898,  Oecologia,  2002 Nov
12130,20207858,PMC2829894,  Afr J AIDS Res,  2002
12131,20207854,PMC2829890,  Virtual Mentor,  2002 Jan 1
12132,20205916,PMC2831040,  J Trop Pediatr,  2001 Aug
12133,20205857,PMC2826354,  J Trop Pediatr,  2001 Jun
12134,20205717,PMC2841182,  J Nutr,  2001 Feb
12135,20202199,PMC2845185,  Oecologia,  2001 Jan
12136,20199674,PMC2843726,  Int J Adolesc Med Health,  2011 May 20
12137,20196168,NIHMS277616,  J Trop Pediatr,  2000 Aug
12138,20195548,,  Hum Nat,  2000 Sep
12139,20191673,,  J Trop Pediatr,  2000 Apr
12140,20190592,PMC4743251,  Oecologia,  2000 May
12141,20189638,,  Mycotoxin Res,  2000 Mar
12142,20187960,PMC2837613,  Oecologia,  1999 Aug
12143,20187956,PMC2838909,  Oecologia,  1998 Sep
12144,23057310,,  Oecologia,  1998 Jul
12145,23057309,,  Oecologia,  1998 Jul
12146,23057308,,  Hum Nat,  1998 Jun
12147,23057307,,  Anthropol Med,  1998 Apr
12148,23057306,,  Am J Hum Biol,  1998
12149,23057305,,  Oecologia,  1998 Jan
12150,22477921,,  J Trop Pediatr,  1997 Oct
12151,20183079,,  J Trop Pediatr,  1997 Jun
12152,20182971,,  Am J Clin Nutr,  1997 Apr
12153,20182793,,  J Trop Pediatr,  1997 Feb
12154,20182086,,  Biosci Biotechnol Biochem,  1997 Jan
12155,20181234,PMC2837856,  Oecologia,  1996 Dec
12156,20181042,PMC2832778,  J Chem Ecol,  1996 Dec
12157,20179576,NIHMS190102,  J Chem Ecol,  1996 Jul
12158,20176370,,  J Chem Ecol,  1996 Jun
12159,20175009,,  J Trop Pediatr,  1996 Apr
12160,20174437,,  J Chem Ecol,  1996 Feb
12161,20171711,,  J Cross Cult Gerontol,  1995 Sep
12162,20170582,,  Plant Cell Rep,  1995 Apr
12163,20170479,PMC2836318,  J Nutr,  1995 Apr
12164,20170051,,  Environ Monit Assess,  1995 Mar
12165,20169748,,  J Trop Pediatr,  1995 Feb
12166,20169113,,  Int J Palliat Nurs,  1995 Jan 2
12167,20167823,,  Am J Hum Biol,  1995
12168,20165984,,  Environ Monit Assess,  1995 Jan
12169,20163726,PMC2832621,  Int J Risk Saf Med,  1995
12170,20162482,,  Theor Appl Genet,  1994 Sep
12171,20156095,,  J Chem Ecol,  1994 Aug
12172,20153931,,  J Chem Ecol,  1994 Aug
12173,20152539,,  J Chem Ecol,  1994 Jul
12174,20150490,,  J Cross Cult Gerontol,  1994 Apr
12175,20150067,,  J Anim Breed Genet,  1994 Jan 12
12176,20150066,,  Am J Hum Biol,  1994
12177,20150065,,  J Chem Ecol,  1993 Sep
12178,20150064,,  Disasters,  1993 Sep
12179,20150063,,  J Chem Ecol,  1993 Aug
12180,20150048,,  J Chem Ecol,  1993 Feb
12181,20148159,,  J Psychopharmacol,  1993 Jan
12182,20146840,,  Int Q Community Health Educ,  1993 Jan 1
12183,20142983,,  J Cross Cult Gerontol,  1992 Oct
12184,20138934,,  J Cross Cult Gerontol,  1992 Oct
12185,20130799,,  J Cross Cult Gerontol,  1992 Oct
